addr,rooms,ruler,floor,price,descr,lat,lon
Vardanants,4 room,156 m2," floor 18/23 , new construction "," Sale - 460,000 $ "," Two - bedroom, two-bathroom apartment on Vardanants - Khanjyan crossroads, next to the flea market ""Vernissage"" is currently for sale. It covers an area of 156 sq.m. and occupies the 18th floor of a 23-story new building. The apartment is currently undergoing renovation. There are a spacious corridor, a large living room, a wardrobe, 2 bedrooms (one of which has a separate bathroom and a wardrobe), 2 bathrooms, a laundry room, an open balcony and a kitchen in the apartment. Centralized heating system is installed along with an air conditioner. Security system is installed. With an additional payment you can also buy an underground parking spot. ",40.17555663,44.51984309
G. Nzhdeh,3 room,104 m2," floor 11/11 , new construction "," Sale - 150,000 $ "," Two - bedroom, two-bathroom spacious apartment 250 m away from Nzhdeh square, near to metro station ""G. Nzhdeh"" is currently for sale. It covers an area of 103.5 sq.m. and occupies the 11th floor of a 11-story building. The apartment has a spacious living room, from where we can enter the kitchen and to open balcony, 2 bedrooms, 2 bathrooms. The floor of the living room, kitchen and lobby is covered with press granite, and the floors of the bedrooms are covered with laminate. An air conditioner is installed in one of the bedrooms and another one in living room. It is heated by a gas boiler. The height of ceiling is 3.10 meters. The balcony has a wonderful view of Garegin Nzhdeh Square and the biblical Mount Ararat. Gardens, schools, kindergartens, shops and other necessary infrastructure are located nearby. ",40.15204477,44.48643083
M. Baghramyan ave.,4 room,103 m2, floor 3/9 ," Sale - 128,000 $ "," Three-bedtoom apartment with 103 sq.m. area is for sale on the 3th floor of 9 storey building in M. Baghramyan Avenue. The apartment is fully repaired. The entarcne door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is wooden. Provided with constant water and gas. Cable TV and internet connection are available. Heated by turbo stove. The kitchen and the bathroom are tiled with spanish tiled and equipped with sanitary ware. The kitchen is furnished. THere is also basement. Stone garage is provided. The price doesn't include the garage and basement. ",40.19207378,44.50537996
Sayat-Nova ave.,3 room,101 m2," floor 10/18 , new construction "," Sale - 250,000 $ "," Two - bedroom, one-bathroom apartment on Sayat-Nova avenue, next to the Circular park is currently for sale. It covers an area of 101 sq.m. and occupies the 10th floor of a 18-story new elite building. The apartment is newly renovated. Local heating system is installed alongside with an air conditioner. The apartment is furnished and equipped with necessary appliances. Security system is installed. The apartment is for sale together with furniture and home appliances. Service staff works in the building. ",40.17740734,44.52612838
Antarayin,4 room,209 m2," floor 2/8 , new construction "," Sale - 470,000 $ "," 3 - bedroom, 2 - bathroom spacious apartment on Antarayin street, next to the Cascade Complex is currently for sale. It covers an area of 209 sq.m. and occupies the 2nd floor of a 9-story new building. The apartment is newly renovated. Centralized heating system is installed alongside with an air conditioner. Floor heating is available. The apartment also has 2 open, spacious balconies, a yard with an area of 600 sq.m and 2 underground parking spots. ",40.19322666,44.51075897
Northern av.,3 room,120 m2," floor 7/10 , new construction "," Sale - 425,000 $ "," For sale is а spacious, bright 2-bedroom, 2-bathroom apartment with an area of 120 sqm on the 7th floor of a 10-story new monolithic house оn the Northern Avenue, in the best part of the city. The apartment is completely renovated, heating and cooling is carried out centrally. The floor is lined with natural stone and high quality oak hardwood in the rooms.There is a laundry room. There is an open balcony with a beautiful view. Both bathrooms are tiled with Europe-made tiles, equipped with all necessary plumbing. The apartment is tastefully furnished and equipped. The building has a security system. Nearby is the Republic Square, the Opera House, branded shops, various entertainment venues. It is sold with furniture and appliances. ",40.18211689,44.51521918
Arami,4 room,135 m2," floor 4/16 , new construction ", Sale - on request ," For sale is a 3-bedroom, 3-bathroom spacious, bright apartment with an area of 135 sqm on the 4th floor of a 16-story new monolithic building on Arami Street, near Malibu Park. The apartment is completely renovated, local heating and air conditioning systems are installed, the floor is covered with high-quality hardwood and press granite. The apartment is furnished with comfortable, high-quality furniture and equipped with necessary household appliances. The kitchen is lined with stone tiles. There are 3 bathrooms lined with European tiles and equipped with plumbing fixtures. There are built-in wardrobes. The apartment has an open balcony with a beautiful view of the park. The house has 2 elevators and a security system. Near the house there are shops, cafes and entertainment venues. ",40.17606584,44.51914135
Komitas ave.,3 room,70 m2, floor 4/9 ," Sale - 89,000 $ "," Two - bedroom, оne-bathroom apartment on Komitas - Papazyan crossroads is currently for sale or for rent. It covers an area of 70 sq.m. and occupies the 4th floor of a 9-story building. The apartment is newly renovated and yet uninhabited. Local heating system is installed. With an additional payment the apartment will be furnished. Supermarket ""Yeritsyan and Sons"", bank branches and the bus stop are located nearby. ",40.20569608,44.50347637
Griboyedov,3 room,87 m2," floor 5/12 , new construction ", Sale - on request ," Two-bedroom apartment with 87 sq.m. area is for rent on the 5th floor of 12 storey new residnetial building in Gribayedov street. The apartment is fully repaired and not populated. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. Provided with constant water and gas. Cable tv and internet connection are available. Heated by gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware, All rooms are furnished. Outdoor parking is provided. The building has security system, beautiful playground and located in a quiet place. ",40.20893003,44.51395767
M. Baghramyan ave.,3 room,70 m2," floor 14/14 , new construction "," Sale - 130,000 $ "," Two-bedroom apartment with 70 sq.m. areaq is for sale or rent on the 12th floor of 14 storey new residential building in M. Baghrmyan Avenue. The apartment is fully repaired. The entrance door is metallic, the windows are modern plastic ones, installed air conditioner, the floor is covered with laminate. Provided with constant water and gas. Cable TV and inernet connection are available. Heated by gas boiler. The kitchen and the bathroom are tiled and equipped with sanitary ware. The building has security system. Outdoor parking is provided. ",40.19207378,44.50537996
Azatutyan ave.,3 room,108 m2, floor 4/4 , Sale - on request , Two - bedroom luxurious apartment on Azatutyan avenue is currently for sale or rent. It covers an area of 108 sq.m. and occupies the 4th floor of a 4 storey building. The apartment is renovated and yet uninhabited. Two types of local heating system are installed. All the rooms are furnished and equipped with the necessary appliances. Closets are available. Cable TV and Internet are installed. From the open balconies a picturesque view towards the Victory park and Cascade can be observed. Numerous shops and entertainment centers can all be found nearby. ,40.19904529,44.52045351
Griboyedov,3 room,86 m2, floor 1/5 ," Sale - 91,000 $ "," Two - bedroom apartment on Mamikonyants - Griboyedov crossroads is currently for sale or rent. It covers an area of 86 sq.m. and occupies the 1st floor of a 5 storey building. The apartment is renovated. Local heating system and air conditioner are installed. All the rooms are furnished and equipped with the necessary appliances. Cable TV and Internet are available. Educational centers, a supermarket and a bus stop are located nearby. ",40.20968865,44.51357514
P.Sevak,3 room,72 m2, floor 3/5 ," Sale - 81,000 $ "," For sale or for long-term rent is a 3-bedroom, 1-bathroom, an uninhabited sunny apartment with an area of 72 sqm on the 3rd floor of a 5-story building on P. Sevak Street. The apartment is completely renovated, a local heating system is installed, the floor is covered with laminate and press granite. The bathroom and kitchen are tiled and equipped with high-quality plumbing. There is an intercom in the building. Nearby there are banks, schools, shops, cafes and entertainment venues. ",40.20871936,44.53607842
